170424 15:51:59 INFO | Use default config for monkey test--[monkey_server.py:19]
170424 15:51:59 INFO | start server--[monkey_server.py:39]
170424 15:52:06 INFO | All device lost--[base.py:42]
170424 15:52:06 DEBUG | current device dict: {}--[device_monitor.py:27]
170424 15:52:06 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:52:11 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:52:11 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:52:11 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:52:11 DEBUG | new device dict is: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:35]
170424 15:52:11 INFO | changed device: {'XT1079': 'ZX1C3242JH'}--[monkey.py:189]
170424 15:52:16 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:52:16 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:52:16 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:52:17 DEBUG | This system is Mac--[monkey_stop.py:60]
170424 15:52:17 INFO | no monkey running in XT1079--[monkey_stop.py:31]
170424 15:52:17 INFO | start monkey with XT1079--[monkey.py:101]
170424 15:52:17 INFO | Monkey cmd: /Users/Admin/Public/Android/sdk/platform-tools/adb -s ZX1C3242JH shell monkey -s 632 -p com.ijuyin.prints.news -v  --throttle 500 --pct-trackball 0 --pct-syskeys 5 --pct-nav 0 --pct-anyevent 0 1000   > /Users/Admin/Desktop/monkey_android-master/performance/monkey/monkeylog/2017-04-24/XT1079_04-24~15-52-17.txt--[monkey.py:108]
170424 15:52:21 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:52:21 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:52:21 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:52:26 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:52:26 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:52:26 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:52:31 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:52:31 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:52:31 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:52:36 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:52:36 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:52:36 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:52:41 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:52:41 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:52:41 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:52:46 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:52:46 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:52:46 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:52:51 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:52:51 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:52:51 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:52:56 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:52:56 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:52:56 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:01 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:01 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:01 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:06 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:06 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:06 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:11 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:11 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:11 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:16 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:16 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:16 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:22 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:22 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:22 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:27 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:27 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:27 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:32 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:32 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:32 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:37 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:37 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:37 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:42 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:42 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:42 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:47 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:47 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:47 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:52 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:52 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:52 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:53:57 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:53:57 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:53:57 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:54:02 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:54:02 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:54:02 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:54:07 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:54:07 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:54:07 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:54:12 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:54:12 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:54:12 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:54:17 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:54:17 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:54:17 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:54:22 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:54:22 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:54:22 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:54:27 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:54:27 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:54:27 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:54:32 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:54:32 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:54:32 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:54:37 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:54:37 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:54:37 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:54:42 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:54:42 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:54:42 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:54:47 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
