170424 15:40:00 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:40:00 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:00 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:40:05 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:40:05 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:05 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:40:11 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:40:11 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:11 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:40:16 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:40:16 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:16 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:40:21 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:40:21 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:21 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:40:26 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:40:26 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:40:26 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:40:31 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
